Family_ID,Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
710100282,0,1,2,1,0,0,0,0,3,2,9,4,5,3,2,1,2,1,5,89016,12612,1096,2076,682,1
710100332,1,1,2,0,0,0,0,0,4,2,12,1,4,1,2,3,3,1,5,11940,3100,1212,1948,78,1
710100362,1,1,2,1,0,0,0,0,4,2,22,11,5,4,2,1,2,1,6,107800,1000,40,2390,955,2
710101102,1,2,1,0,0,0,0,0,4,1,10,2,2,1,1,2,3,1,5,20600,10000,120,1530,688,1
710200112,1,2,1,1,0,0,0,0,3,1,22,11,5,4,3,1,1,0,1,32000,0,0,750,51,2
710200132,1,2,1,0,0,0,0,0,4,1,16,3,1,1,1,3,1,0,4,7200,0,0,2709,102,1
710200142,1,1,4,0,0,0,0,0,3,2,19,7,4,3,2,4,4,0,8,8420,0,0,4830,1085,1
710200162,1,1,1,0,0,0,0,0,3,1,7,5,4,2,1,4,4,0,5,0,0,0,1030,225,1
710200172,1,2,1,0,0,0,0,0,4,1,17,2,2,1,1,3,4,0,3,8305,0,0,1765,265,1
710200182,1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,1,0,1,60,0,0,1000,1,2
710200212,0,2,1,1,0,0,0,0,2,1,9,9,5,2,3,3,1,0,1,3550,0,0,806,1001,1
710200222,0,1,1,0,0,0,0,0,2,1,22,11,5,4,4,3,1,0,1,4555,0,0,836,11,2
710200232,0,2,1,1,0,0,0,0,1,1,5,9,5,2,3,1,1,1,1,10032,300,0,806,33,1
710200242,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,3,3,0,2,1174,0,0,1204,0,2
710200272,0,1,4,0,0,0,0,0,4,2,6,7,3,1,2,3,2,1,8,69655,12000,0,4282,1416,1
710200292,0,1,2,0,0,0,0,0,3,2,18,4,5,3,2,1,2,1,5,47420,1050,520,2996,878,1
710200362,1,1,1,0,0,0,0,0,3,1,22,11,1,4,1,3,1,1,4,470,1200,120,1042,253,1
710200382,1,1,2,1,0,0,0,0,1,2,6,7,5,3,2,1,1,1,6,104050,9000,750,3340,725,1
710201112,1,2,1,0,0,0,0,0,4,1,11,3,1,1,1,3,3,0,2,3969,0,0,2325,133,1
710201122,1,1,2,1,0,0,0,0,4,2,22,11,5,4,2,3,3,1,4,10040,7000,350,1967,420,2
710201132,1,1,1,0,0,0,0,0,3,1,22,11,1,4,1,3,3,1,2,5100,5000,104,1188,105,1
710300182,1,2,3,0,0,0,0,0,4,2,7,3,1,1,1,3,1,1,6,3432,276,45,3713,554,1
710300212,0,2,1,0,0,0,0,0,4,1,17,2,1,1,1,1,2,1,6,20930,6000,1200,2090,1236,1
710300222,0,1,4,0,0,0,0,0,3,2,3,8,3,1,2,1,2,1,9,26740,5530,480,5340,1432,1
710300242,0,2,2,1,0,0,0,0,3,2,22,11,5,4,2,1,2,0,2,19900,0,0,1338,199,2
